37820,2768552
1781170,4186263
3381320,11033129
1178500,10447529
421190,9486207
644300,9949864
4585060,4585061
89810,8798975
5534520,10409234
3593150,3593151
2423530,76351
5758400,10824241
1967290,1967292
2943290,10171728
5742620,5742613
3262260,9020583
5898720,10669867
202490,9310956
151130,9572341
636440,9167465
870680,960732
2428660,11269040
47260,3001585
436970,10269091
10073560,10073564
2938200,10372848
2102080,9399039
751170,11038145
465260,9900608
2174940,5458283
7296640,10918107
91100,9229158
4708730,10190032
1745170,9504888
245650,9463082
840340,9681133
3088970,9769993
1368680,9134149
4807640,2932318
3991400,10016202
2924840,3146209
7437180,10863205
907200,907202
2943130,8766517
10429690,23192
905320,3213058
405540,2092044
7312430,7448752
243680,9761577
3011000,10358068
4952960,10264935
857020,1220794
3663240,10872586
823720,9160509
1471100,9175779
1517230,8993552
885530,10223089
295370,7319878
4979490,4979491
5561960,10309714
1680770,9243510
488280,9612051
1645350,1645355
8818050,151074
60690,9563771
483610,9513242
514000,9960479
4709700,10190628
5746420,10471731
8832120,211033
3903720,9984475
874650,984333
1545670,9192408
5953180,10543921
771260,5486187
8604540,8723903
4955250,10267598
644330,9404328
1121200,10088536
3578840,9956618
583990,9744593
971730,4584584
203100,9402215
1047310,9237937
799490,2082138
1423190,9153610
1370820,4880482
1329600,10021009
7310270,10868372
903320,2107573
377810,9000454
509160,9946160
4832890,7419055
995020,10085142
485740,10899397
2831430,2831431
134650,7435353
3938310,10008251
536390,10808376
1333860,10273092
828680,9014468
5404590,5404591
234820,68736
5899690,10532671
634530,2936860
72280,10809198
572000,30327
7802820,5973825
5882380,3921321
5563970,10421279
3824050,10619860
61060,10242781
423840,9290389
2263190,9457231
4177770,10052676
1220250,5827195
7062790,11229987
815770,10121827
517800,5620379
606230,8913024
1159160,450115
5753950,5753951
2172920,10291077
15890,9225032
787430,10303042
1326020,10889548
5707620,7528848
715550,571879
2942130,10095007
741550,8953313
878550,997766
3192340,9152135
153730,8815795
7312140,10883891
513660,10096530
2472200,9544373
2831280,2831277
10552700,4287675
5757820,5757805
435150,9836760
2864950,2864947
3513050,9934362
867450,9334439
3174740,1416114
684960,878669
2606030,3273704
1111320,9384832
467830,7419476
4962940,10275139
4066340,11220312
880120,10075773
668530,9229508
5729240,11221828
4045900,10419337
